Country or area,Internet users,Rank,Percentage,Rank
China,"746,662,194",1,53.20%,109
India,"391,292,635",2,29.55%,143
United States,"245,436,423",3,76.18%,54
Brazil,"123,927,230",4,59.68%,90
Japan,"117,528,631",5,92.00%,15
Russia,"110,003,284",6,76.41%,53
Mexico,"75,937,568",7,59.54%,92
Germany,"73,436,503",8,89.65%,20
Indonesia,"66,244,991",9,25.37%,157
United Kingdom,"62,354,410",10,94.78%,11
Philippines,"57,342,723",11,55.50%,101
France,"55,413,854",12,85.62%,29
Nigeria,"47,743,541",13,25.67%,153
South Korea,"47,094,267",14,92.72%,14
Turkey,"46,395,500",15,58.35%,95
Vietnam,"43,974,618",16,46.50%,120
Iran,"42,731,675",17,53.23%,107
Egypt,"37,519,531",18,39.21%,130
Spain,"37,337,607",19,80.56%,35
Italy,"36,442,438",20,61.32%,86
Thailand,"32,710,169",21,47.50%,116
Canada,"32,602,776",22,89.84%,19
Argentina,"30,758,972",23,70.15%,70
South Africa,"30,248,355",24,54.00%,106
Pakistan,"29,965,859",25,15.51%,179
Bangladesh,"29,738,660",26,18.25%,175
Colombia,"28,287,098",27,58.14%,97
Poland,"28,018,492",28,73.30%,62
Malaysia,"24,572,446",29,78.79%,45
Saudi Arabia,"23,803,319",30,73.75%,61
Ukraine,"23,321,390",31,52.48%,110
Australia,"21,288,648",32,88.24%,23
Morocco,"20,555,783",33,58.27%,96
Venezuela,"18,940,907",34,60.00%,88
Taiwan,"18,786,473",35,79.75%,41
Algeria,"17,440,299",36,42.95%,126
Ethiopia,"15,739,371",37,15.37%,180
Netherlands,"15,358,245",38,90.41%,18
Uzbekistan,"14,713,955",39,46.79%,117
Peru,"14,444,387",40,45.46%,122
Kazakhstan,"13,814,581",41,76.80%,51
Myanmar,"13,258,325",42,25.07%,159
Kenya,"12,600,007",43,26.00%,152
Chile,"11,822,229",44,66.01%,82
Romania,"11,767,959",45,59.50%,93
Sudan,"11,082,072",46,28.00%,147
Belgium,"9,827,270",47,86.52%,28
Ghana,"9,779,273",48,34.67%,134
Uganda,"9,077,567",49,21.88%,167
