infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
2,0,33938,1,0,1
2,0,33938,1,0,1
3,0,33937,1,1,1
4,0,33936,2,1,1
4,0,33936,2,1,1
5,0,33935,2,2,1
6,0,33934,3,2,1
9,0,33931,5,3,1
13,0,33927,6,6,1
18,0,33922,8,9,1
22,0,33918,10,11,1
31,0,33909,12,18,1
38,0,33902,16,21,1
51,0,33889,20,30,1
65,0,33875,25,39,1
87,0,33853,34,52,1
109,0,33831,36,63,1
118,0,33822,45,63,10
126,0,33814,46,70,10
133,0,33807,48,75,10
142,0,33798,52,80,10
157,0,33783,56,91,10
173,0,33767,62,101,10
191,0,33749,67,114,10
217,0,33723,78,129,10
247,0,33693,88,149,10
287,0,33653,104,173,10
347,0,33593,128,209,10
425,0,33515,155,260,10
522,0,33418,192,320,10
641,0,33299,237,375,10
759,0,33181,278,424,28
878,0,33062,335,468,57
1019,0,32921,397,547,75
1177,0,32763,451,639,75
1365,0,32575,508,722,87
1548,0,32392,612,801,134
1763,0,32177,707,921,134
2034,0,31906,819,1080,135
2386,0,31554,969,1268,135
2830,0,31110,1149,1532,149
3357,0,30583,1354,1854,149
4017,0,29923,1623,2245,149
4789,0,29151,1895,2703,149
5638,0,28302,2229,3149,188
6536,0,27404,2616,3610,256
7435,0,26505,2981,4056,308
8377,0,25563,3399,4518,391
9406,0,24534,3789,5055,453
10410,0,23530,4228,5541,555
11412,0,22528,4674,6047,635
12494,0,21446,5090,6629,686
13582,0,20358,5576,7181,770
14764,0,19176,6054,7819,818
15914,131,17895,6563,8423,880
17079,257,16604,7047,9077,919
18402,351,15187,7585,9839,946
19756,476,13708,8100,10646,969
21096,594,12250,8646,11412,1002
21990,684,11266,9012,11922,1017
22870,765,10305,9384,12425,1041
23587,857,9496,9656,12854,1040
24253,949,8738,9942,13236,1060
24847,1019,8074,10174,13588,1058
25347,1107,7486,10379,13876,1067
25734,1199,7007,10552,14075,1071
26036,1278,6626,10679,14247,1083
26363,1347,6230,10812,14435,1092
26609,1437,5894,10926,14570,1096
26811,1515,5614,11003,14695,1095
26972,1580,5388,11067,14790,1096
27070,1657,5213,11104,14852,1093
27143,1719,5078,11132,14898,1096
27205,1783,4952,11152,14940,1095
27259,1849,4832,11163,14980,1096
27285,1913,4742,11172,14996,1099
27312,1962,4666,11186,15012,1098
27313,2037,4590,11187,15016,1094
27322,2090,4528,11190,15023,1093
27320,2141,4479,11194,15019,1091
27306,2192,4442,11186,15013,1091
27298,2239,4403,11185,15007,1090
27290,2277,4373,11184,15001,1089
27275,2322,4343,11175,14995,1089
27250,2364,4326,11161,14985,1088
27232,2399,4309,11150,14978,1088
27222,2427,4291,11146,14973,1087
27207,2455,4278,11147,14958,1086
27186,2487,4267,11138,14946,1086
27167,2512,4261,11126,14940,1085
27147,2539,4254,11112,14934,1085
27132,2563,4245,11104,14929,1083
27109,2589,4242,11091,14919,1083
27092,2612,4236,11083,14910,1083
27079,2630,4231,11076,14905,1082
27231,2671,4038,11155,14979,1092
27375,2713,3852,11200,15077,1092
27550,2743,3647,11275,15177,1094
27698,2777,3465,11323,15274,1094
27868,2815,3257,11402,15367,1095
28077,2862,3001,11476,15501,1095
28227,2916,2797,11536,15585,1097
28371,2968,2601,11594,15673,1101
28538,3022,2380,11649,15783,1102
28688,3074,2178,11700,15886,1101
28815,3127,1998,11736,15974,1101
28951,3175,1814,11791,16056,1104
29123,3226,1591,11854,16169,1100
29214,3311,1415,11876,16239,1099
29308,3395,1237,11889,16323,1095
29406,3451,1083,11910,16401,1094
29461,3512,967,11868,16499,1094
29500,3587,853,11803,16604,1092
29535,3646,759,11685,16762,1087
29535,3718,687,11556,16895,1082
29540,3790,610,11355,17105,1079
29520,3871,549,11145,17298,1077
29494,3948,498,10927,17492,1075
29472,4018,450,10655,17745,1072
29437,4097,406,10261,18105,1071
29428,4151,361,9919,18439,1069
29378,4232,330,9608,18702,1067
29331,4304,305,9318,18948,1064
29274,4406,260,8547,19665,1060
29216,4499,225,7990,20168,1056
29145,4587,208,7538,20552,1053
29062,4687,191,7244,20764,1052
28975,4791,174,6799,21126,1048
28900,4879,161,6495,21358,1045
28816,4972,152,6252,21518,1044
28751,5052,137,6086,21623,1040
28665,5150,125,5792,21834,1037
28586,5235,119,5563,21987,1034
28493,5333,114,5457,22006,1028
28413,5418,109,5366,22022,1023
28321,5513,106,5279,22020,1020
28220,5616,104,5214,21994,1010
28135,5708,97,5158,21970,1005
28039,5808,93,4980,22062,995
27938,5910,92,4573,22373,990
27868,5982,90,4549,22328,989
27774,6078,88,4493,22295,984
27691,6165,84,4443,22267,979
27599,6258,83,4163,22459,975
27505,6352,83,4139,22391,973
27400,6461,79,4132,22296,970
27313,6549,78,4032,22313,966
27237,6628,75,3722,22551,962
27139,6728,73,3628,22551,958
27046,6821,73,3571,22520,953
26952,6916,72,3556,22446,948
26865,7005,70,3165,22757,941
26779,7095,66,3106,22734,937
26690,7190,60,2989,22764,935
26603,7281,56,2842,22827,932
26538,7347,55,2541,23066,929
26458,7428,54,2519,23012,925
26383,7503,54,2493,22965,923
26325,7562,53,2492,22913,918
26258,7629,53,2380,22960,916
26184,7704,52,2375,22894,913
26119,7769,52,2347,22861,909
26051,7839,50,2343,22797,909
25988,7904,48,2101,22976,909
25929,7968,43,2057,22963,907
25863,8035,42,1955,23000,906
25804,8096,40,1937,22960,905
25753,8149,38,1845,23004,902
25724,8185,31,1808,23012,902
25681,8229,30,1692,23088,899
25624,8289,27,1661,23063,898
25582,8335,23,1617,23066,897
25537,8382,21,1532,23107,896
25500,8421,19,1500,23104,894
25447,8477,16,1462,23091,892
25412,8513,15,1421,23100,889
25365,8562,13,1404,23073,886
25327,8600,13,1357,23084,884
25290,8637,13,1357,23051,880
25251,8676,13,1356,23013,880
25223,8704,13,1356,22985,880
25192,8736,12,1356,22955,879
25174,8754,12,1346,22948,878
25151,8777,12,1346,22925,878
25126,8802,12,1345,22902,877
25105,8823,12,1345,22882,876
25080,8848,12,1345,22857,876
25064,8864,12,1344,22842,876
25037,8892,11,1342,22819,874
25022,8907,11,1333,22813,874
25004,8925,11,1333,22795,874
24968,8962,10,707,23388,871
24932,8998,10,695,23365,870
24892,9038,10,695,23329,866
24868,9062,10,694,23307,865
24838,9092,10,620,23351,865
24809,9121,10,620,23325,862
24775,9155,10,618,23293,862
24752,9178,10,618,23271,861
24708,9222,10,531,23316,859
24675,9255,10,531,23283,859
24621,9309,10,529,23236,854
24572,9358,10,529,23188,853
24517,9413,10,354,23310,851
24464,9466,10,354,23259,849
24408,9522,10,353,23205,848
24341,9589,10,352,23140,847
24278,9652,10,345,23086,845
24227,9703,10,345,23037,843
24173,9757,10,344,22986,841
24130,9800,10,344,22944,840
24081,9849,10,323,22918,838
24019,9913,8,320,22860,837
23957,9975,8,271,22850,834
23897,10035,8,270,22794,831
23842,10090,8,264,22745,831
23783,10149,8,264,22688,829
23709,10224,7,264,22620,823
23649,10284,7,240,22586,821
23579,10354,7,224,22534,819
23510,10423,7,224,22467,817
23429,10504,7,224,22393,810
23352,10581,7,223,22320,807
23268,10665,7,217,22248,801
23190,10743,7,216,22174,798
23107,10826,7,216,22093,796
23036,10897,7,215,22025,794
22968,10965,7,215,21962,789
22895,11038,7,215,21893,785
22816,11117,7,214,21819,781
22737,11196,7,212,21743,780
22646,11287,7,210,21658,776
22576,11357,7,210,21589,775
22501,11432,7,210,21515,774
22421,11512,7,206,21444,769
22355,11578,7,204,21382,767
22293,11640,7,204,21323,764
22226,11707,7,204,21259,761
22161,11772,7,204,21197,758
22083,11850,7,197,21127,757
22016,11917,7,197,21063,754
21942,11991,7,197,20991,752
21870,12063,7,197,20925,746
21782,12151,7,190,20845,745
21714,12219,7,189,20781,742
21648,12285,7,188,20718,740
21572,12361,7,188,20646,736
21492,12441,7,185,20571,734
21419,12514,7,185,20503,729
21342,12591,7,185,20426,729
21276,12657,7,183,20366,725
21231,12702,7,178,20327,724
21168,12765,7,177,20268,721
21118,12815,7,177,20220,719
21054,12879,7,177,20160,715
21001,12932,7,175,20110,714
20953,12980,7,175,20064,712
20906,13027,7,175,20021,708
20864,13069,7,175,19983,704
20824,13109,7,171,19948,703
20774,13159,7,171,19899,702
20729,13204,7,171,19856,700
20669,13266,5,171,19799,697
20636,13299,5,143,19795,696
20594,13342,4,143,19757,692
20555,13382,3,129,19732,692
20526,13411,3,118,19714,692
20484,13453,3,118,19672,692
20450,13487,3,118,19639,691
20416,13521,3,118,19605,691
20378,13559,3,118,19567,691
20340,13597,3,118,19529,691
20305,13632,3,118,19494,691
20268,13669,3,118,19458,690
20233,13705,2,118,19425,688
20201,13737,2,106,19406,687
20169,13769,2,106,19374,687
20143,13795,2,106,19349,686
20115,13823,2,106,19322,685
20091,13848,1,107,19298,684
20077,13862,1,104,19288,683
20062,13877,1,104,19276,680
20044,13895,1,104,19259,679
20032,13907,1,104,19247,679
20017,13922,1,104,19234,677
20005,13934,1,104,19222,677
19988,13951,1,104,19205,677
19962,13977,1,63,19221,676
19933,14006,1,63,19192,676
19920,14019,1,63,19179,676
19892,14047,1,63,19151,676
19867,14072,1,55,19135,675
19833,14106,1,55,19102,674
19815,14124,1,55,19084,674
19791,14148,1,55,19061,673
19754,14185,1,48,19031,673
19722,14217,1,48,19002,670
19695,14244,1,48,18977,668
19669,14270,1,48,18951,668
19633,14306,1,26,18937,668
19590,14349,1,26,18897,665
19557,14382,1,26,18867,662
19516,14423,1,26,18828,660
19469,14470,1,26,18782,659
19429,14510,1,26,18744,657
19383,14556,1,26,18699,656
19343,14596,1,26,18660,655
19294,14645,1,23,18616,653
19242,14697,1,23,18565,652
19200,14739,1,23,18524,651
19149,14790,1,23,18474,650
19098,14841,1,22,18427,647
19054,14885,1,22,18386,644
19016,14923,1,22,18349,643
18967,14972,1,22,18301,642
18906,15033,1,18,18246,640
18851,15088,1,18,18193,638
18790,15149,1,18,18134,636
18735,15204,1,18,18081,634
18669,15270,1,18,18019,630
18607,15332,1,18,17961,626
18549,15390,1,18,17906,623
18484,15455,1,18,17842,622
18425,15514,1,18,17784,621
18365,15574,1,18,17728,617
18300,15639,1,18,17667,613
18239,15700,1,18,17610,609
18191,15748,1,18,17562,609
18137,15802,1,17,17512,606
18084,15855,1,17,17459,606
18027,15912,1,17,17404,604
17974,15965,1,17,17353,602
17910,16029,1,17,17292,599
17861,16078,1,17,17244,598
17803,16136,1,17,17187,597
17733,16206,1,17,17118,596
17671,16268,1,17,17060,592
17604,16335,1,17,16994,591
17547,16392,1,17,16939,589
17482,16457,1,17,16878,585
17421,16518,1,17,16817,585
17360,16579,1,17,16759,582
17299,16640,1,17,16699,581
17246,16693,1,16,16650,578
17181,16758,1,16,16585,578
17121,16818,1,16,16527,576
17064,16875,1,16,16472,574
17023,16916,1,16,16432,573
16983,16956,1,16,16392,573
16932,17007,1,15,16344,571
16879,17060,1,15,16292,570
16831,17108,1,15,16246,568
16795,17144,1,15,16214,564
16759,17180,1,15,16180,562
16721,17218,1,15,16145,559
16673,17266,1,15,16099,557
16626,17313,1,15,16055,554
16593,17346,1,15,16023,553
16546,17393,1,15,15976,553
16519,17420,1,15,15950,552
16489,17450,1,15,15922,550
16459,17480,1,15,15892,550
16425,17514,1,15,15858,550
16394,17545,1,15,15828,549
16366,17573,1,15,15801,548
16343,17596,1,15,15779,547
16314,17625,1,15,15753,544
16294,17645,1,15,15733,544
16260,17679,1,15,15699,544
16233,17706,1,15,15673,543
16209,17730,1,15,15650,542
16191,17748,1,15,15633,541
16165,17774,1,15,15609,539
16142,17797,1,15,15586,539
16121,17818,1,15,15565,539
16110,17829,1,15,15554,539
16096,17843,1,15,15541,538
16078,17861,1,15,15524,537
16065,17874,1,15,15511,537
16046,17893,1,15,15492,537
16035,17904,1,15,15481,537
16017,17922,1,15,15464,536
15996,17943,1,15,15445,534
15973,17966,1,15,15423,533
15953,17986,1,15,15404,532
15934,18005,1,15,15385,532
15911,18028,1,15,15362,532
15892,18047,1,15,15344,531
15875,18064,1,15,15327,531
15853,18086,1,15,15308,528
15829,18110,1,15,15284,528
15811,18128,1,15,15268,526
15781,18158,1,14,15241,524
15761,18178,1,14,15223,522
15738,18201,1,14,15201,521
15695,18244,1,14,15159,520
15653,18286,1,14,15119,518
15625,18314,1,14,15092,517
15596,18343,1,14,15063,517
15568,18371,1,14,15037,515
15532,18407,1,14,15003,513
15497,18442,1,14,14969,512
15468,18471,1,13,14941,512
15420,18519,1,13,14894,511
15383,18556,1,13,14859,509
15352,18587,1,13,14829,508
15320,18619,1,13,14801,504
15281,18658,1,13,14763,503
15243,18696,1,13,14728,500
15209,18730,1,13,14695,499
15173,18766,1,13,14660,498
15127,18812,1,13,14616,496
15082,18857,1,13,14572,495
15040,18899,1,13,14533,492
14983,18956,1,13,14479,489
14944,18995,1,13,14441,488
14895,19044,1,13,14395,485
14849,19090,1,13,14350,484
14800,19139,1,13,14301,484
14765,19174,1,13,14267,483
14719,19220,1,13,14223,481
14671,19268,1,13,14178,478
14611,19328,1,13,14120,476
14570,19369,1,13,14080,475
14527,19412,1,13,14040,472
14483,19456,1,13,13999,469
14421,19518,1,12,13939,468
14385,19554,1,12,13904,467
14335,19604,1,12,13856,465
14291,19648,1,12,13815,462
14259,19680,1,12,13784,461
14207,19732,1,12,13733,460
14165,19774,1,12,13693,458
14121,19818,1,12,13649,458
14077,19862,1,12,13607,456
14024,19915,1,12,13555,455
13981,19958,1,12,13513,454
13937,20002,1,12,13470,453
13898,20041,1,12,13431,453
13846,20093,1,12,13382,450
13793,20146,1,12,13332,447
13743,20196,1,12,13284,445
13701,20238,1,12,13243,444
13672,20267,1,12,13214,444
13641,20298,1,12,13184,443
13606,20333,1,12,13150,442
13571,20368,1,12,13116,441
13536,20403,1,12,13083,439
13512,20427,1,12,13061,437
13478,20461,1,12,13027,437
13443,20496,1,12,12995,434
13397,20542,1,12,12951,432
13366,20573,1,12,12922,430
13329,20610,1,12,12887,428
13295,20644,1,12,12853,428
