infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
1,0,33939,1,0,0
2,0,33938,2,0,0
4,0,33936,2,1,1
5,0,33935,2,2,1
7,0,33933,2,4,1
8,0,33932,2,5,1
10,0,33930,2,7,1
10,0,33930,2,7,1
12,0,33928,3,8,1
14,0,33926,4,9,1
15,0,33925,4,10,1
17,0,33923,5,11,1
19,0,33921,7,11,1
21,0,33919,7,11,3
26,0,33914,9,12,5
30,0,33910,10,13,7
36,0,33904,12,15,9
44,0,33896,13,20,11
54,0,33886,17,24,13
66,0,33874,20,31,15
80,0,33860,22,38,20
96,0,33844,25,47,24
114,0,33826,31,53,30
134,0,33806,38,59,37
161,0,33779,43,71,47
195,0,33745,50,89,56
229,0,33711,62,98,69
276,0,33664,79,116,81
341,0,33599,96,143,102
413,0,33527,110,176,127
501,0,33439,143,207,151
611,0,33329,175,250,186
750,0,33190,218,308,224
921,0,33019,270,367,284
1146,0,32794,346,452,348
1396,0,32544,408,558,430
1710,0,32230,505,696,509
2084,0,31856,615,849,620
2528,0,31412,757,1012,759
3063,0,30877,926,1217,920
3670,0,30270,1116,1449,1105
4386,0,29554,1326,1749,1311
5218,0,28722,1582,2087,1549
6175,0,27765,1855,2484,1836
7194,0,26746,2170,2894,2130
8307,0,25633,2514,3311,2482
9427,0,24513,2850,3753,2824
10602,0,23338,3193,4204,3205
11790,0,22150,3547,4672,3571
12979,0,20961,3893,5138,3948
14168,0,19772,4249,5615,4304
15527,0,18413,4701,6121,4705
16906,0,17034,5120,6676,5110
18309,0,15631,5543,7217,5549
19706,122,14112,5929,7804,5973
21147,231,12562,6336,8405,6406
22546,323,11071,6750,8975,6821
23835,447,9658,7120,9472,7243
25005,571,8364,7496,9912,7597
25781,644,7515,7715,10228,7838
26455,721,6764,7913,10473,8069
26980,820,6140,8052,10696,8232
27394,904,5642,8180,10854,8360
27815,973,5152,8322,11016,8477
28096,1050,4794,8419,11134,8543
28301,1140,4499,8478,11214,8609
28442,1219,4279,8528,11258,8656
28662,1296,3982,8592,11355,8715
28824,1370,3746,8638,11416,8770
28924,1452,3564,8667,11446,8811
28971,1537,3432,8672,11473,8826
29050,1587,3303,8690,11514,8846
29119,1641,3180,8703,11547,8869
29130,1704,3106,8708,11553,8869
29143,1760,3037,8713,11559,8871
29149,1822,2969,8718,11551,8880
29140,1883,2917,8717,11546,8877
29093,1963,2884,8704,11526,8863
29071,2008,2861,8696,11521,8854
29033,2063,2844,8677,11509,8847
28993,2123,2824,8665,11494,8834
28973,2168,2799,8664,11486,8823
28951,2207,2782,8661,11481,8809
28921,2247,2772,8651,11470,8800
28893,2281,2766,8641,11459,8793
28859,2326,2755,8627,11444,8788
28834,2360,2746,8622,11432,8780
28814,2384,2742,8616,11424,8774
28791,2414,2735,8608,11417,8766
28761,2447,2732,8596,11405,8760
28740,2472,2728,8591,11393,8756
28718,2496,2726,8588,11385,8745
28698,2518,2724,8585,11374,8739
28674,2543,2723,8579,11363,8732
28660,2559,2721,8578,11356,8726
28839,2604,2497,8620,11440,8779
29024,2640,2276,8683,11509,8832
29157,2678,2105,8734,11556,8867
29267,2720,1953,8767,11591,8909
29403,2769,1768,8808,11636,8959
29524,2818,1598,8841,11689,8994
29619,2869,1452,8873,11718,9028
29721,2914,1305,8900,11767,9054
29817,2957,1166,8931,11800,9086
29910,3004,1026,8965,11840,9105
29976,3053,911,8984,11868,9124
