infected,immune,susceptible,spread,attack,control
1,0,33940,1,0,0
2,0,33939,2,0,0
3,0,33938,2,1,0
3,0,33938,2,1,0
4,0,33937,3,1,0
5,0,33936,4,1,0
8,0,33933,5,3,0
12,0,33929,6,6,0
15,0,33926,7,8,0
19,0,33922,9,10,0
25,0,33916,11,14,0
28,0,33913,13,15,0
36,0,33905,16,20,0
46,0,33895,19,27,0
61,0,33880,24,37,0
75,0,33866,32,43,0
96,0,33845,44,52,0
121,0,33820,46,54,0
142,0,33799,67,54,21
153,0,33788,71,61,21
168,0,33773,77,70,21
189,0,33752,86,82,21
216,0,33725,95,100,21
243,0,33698,100,122,21
285,0,33656,121,143,21
340,0,33601,139,180,21
406,0,33535,169,216,21
497,0,33444,215,261,21
616,0,33325,262,333,21
776,0,33165,316,439,21
960,0,32981,380,533,21
1200,0,32741,478,658,46
1455,0,32486,567,789,64
1732,0,32209,680,918,99
2017,0,31924,802,1050,133
2303,0,31638,934,1164,164
2596,0,31345,1061,1315,203
2902,0,31039,1189,1475,220
3247,0,30694,1333,1669,238
3650,0,30291,1501,1904,245
4108,0,29833,1692,2156,245
4686,0,29255,1902,2475,260
5288,0,28653,2191,2788,307
5929,0,28012,2443,3177,308
6699,0,27242,2769,3617,309
7575,0,26366,3123,4123,313
8528,0,25413,3488,4646,328
9461,0,24480,3888,5144,390
10489,0,23452,4315,5725,427
11578,0,22363,4749,6330,449
12707,0,21234,5222,6960,497
13838,0,20103,5687,7581,522
15122,0,18819,6227,8293,567
16381,0,17560,6716,9003,598
17661,0,16280,7249,9669,658
18940,0,15001,7785,10341,737
20136,0,13805,8291,11015,809
21304,0,12637,8728,11649,823
22402,0,11539,9236,12201,910
23405,0,10536,9651,12760,955
23975,0,9966,9889,13083,981
24413,85,9443,10063,13339,990
24760,240,8941,10200,13553,995
24936,531,8474,10277,13641,992
24863,1016,8062,10224,13634,989
24519,1791,7631,10109,13424,967
23766,2964,7211,9816,12999,930
22457,4675,6809,9273,12281,885
21476,6524,5941,8883,11723,853
19472,9215,5254,8067,10628,764
16871,12473,4597,7014,9185,660
14134,15776,4031,5882,7686,554
12033,18344,3564,5026,6511,484
10890,19694,3357,4546,5884,448
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
10840,19756,3345,4522,5860,446
11035,19791,3115,4556,6021,456
11144,19862,2935,4567,6122,453
11205,19997,2739,4578,6176,450
11179,20240,2522,4540,6193,443
10978,20688,2275,4431,6112,435
10502,21426,2013,4218,5873,411
9711,22529,1701,3877,5462,371
8456,24087,1398,3319,4823,314
6693,26204,1044,2532,3912,248
4606,28646,689,1689,2741,176
2519,31068,354,920,1503,96
1321,32491,129,510,764,47
64,33873,4,6,56,2
0,33941,0,0,0,0
