infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
2,0,33938,1,0,1
2,0,33938,1,0,1
2,0,33938,1,0,1
2,0,33938,1,0,1
3,0,33937,1,1,1
4,0,33936,2,1,1
6,0,33934,3,2,1
8,0,33932,3,4,1
11,0,33929,4,6,1
14,0,33926,6,7,1
18,0,33922,7,10,1
23,0,33917,9,13,1
32,0,33908,13,18,1
41,0,33899,17,23,1
56,0,33884,23,32,1
72,0,33868,29,42,1
95,0,33845,41,53,1
125,0,33815,44,55,1
150,0,33790,69,55,26
168,77,33695,75,67,26
188,220,33532,89,73,26
215,491,33234,100,90,25
243,959,32738,106,112,25
284,1656,32000,127,132,25
322,2695,30923,127,170,25
356,4136,29448,143,192,21
379,6018,27543,153,209,17
438,7503,25999,183,241,14
424,10316,23200,166,249,9
389,13514,20037,151,230,8
330,16610,17000,132,191,7
309,18869,14762,122,182,5
181,22047,11712,72,107,2
89,24763,9088,34,53,2
16,26761,7163,4,12,0
0,27578,6362,0,0,0
0,27581,6359,0,0,0
0,27581,6359,0,0,0
0,27581,6359,0,0,0
0,27582,6358,0,0,0
0,27582,6358,0,0,0
0,27582,6358,0,0,0
0,27582,6358,0,0,0
0,28799,5141,0,0,0
0,28848,5092,0,0,0
0,28848,5092,0,0,0
0,28848,5092,0,0,0
0,29612,4328,0,0,0
0,29612,4328,0,0,0
0,29612,4328,0,0,0
0,29612,4328,0,0,0
0,30715,3225,0,0,0
0,30738,3202,0,0,0
0,30738,3202,0,0,0
0,30738,3202,0,0,0
0,31948,1992,0,0,0
0,32001,1939,0,0,0
0,32001,1939,0,0,0
0,32001,1939,0,0,0
0,32693,1247,0,0,0
0,32693,1247,0,0,0
0,32693,1247,0,0,0
0,32693,1247,0,0,0
0,33013,927,0,0,0
0,33013,927,0,0,0
0,33013,927,0,0,0
0,33013,927,0,0,0
0,33707,233,0,0,0
0,33707,233,0,0,0
0,33707,233,0,0,0
0,33707,233,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
0,33940,0,0,0,0
