infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
1,0,33939,1,0,0
2,0,33938,2,0,0
2,0,33938,2,0,0
3,0,33937,2,0,1
5,0,33935,2,1,2
6,0,33934,3,1,2
7,0,33933,3,2,2
7,0,33933,3,2,2
8,0,33932,3,2,3
10,0,33930,3,4,3
11,0,33929,3,4,4
11,0,33929,3,4,4
12,0,33928,4,4,4
16,0,33924,5,5,6
17,0,33923,5,6,6
20,0,33920,6,7,7
22,0,33918,6,8,8
26,0,33914,8,10,8
31,0,33909,10,13,8
35,0,33905,12,15,8
44,0,33896,14,20,10
50,0,33890,16,22,12
61,0,33879,20,27,14
71,0,33869,23,31,17
82,0,33858,26,35,21
100,0,33840,32,45,23
124,0,33816,41,54,29
157,0,33783,48,69,40
193,0,33747,57,87,49
241,0,33699,66,114,61
295,0,33645,75,139,81
350,0,33590,96,153,101
431,0,33509,119,186,126
523,0,33417,143,231,149
626,0,33314,169,278,179
759,0,33181,203,335,221
904,0,33036,241,395,268
1078,0,32862,295,463,320
1294,0,32646,376,536,382
1564,0,32376,453,646,465
1899,0,32041,539,775,585
2265,0,31675,655,913,697
2726,0,31214,801,1079,846
3294,0,30646,968,1318,1008
3966,0,29974,1162,1583,1221
4732,0,29208,1409,1882,1441
5618,0,28322,1670,2246,1702
6632,0,27308,1985,2655,1992
7811,0,26129,2344,3131,2336
9056,0,24884,2700,3635,2721
10411,0,23529,3100,4174,3137
11921,0,22019,3526,4807,3588
13480,0,20460,4008,5431,4041
15093,0,18847,4506,6070,4517
16653,0,17287,4996,6677,4980
18309,0,15631,5487,7323,5499
19913,0,14027,6001,7934,5978
21519,0,12421,6476,8579,6464
23071,0,10869,6942,9200,6929
23980,0,9960,7208,9563,7209
24885,0,9055,7480,9929,7476
25667,0,8273,7724,10246,7697
26335,0,7605,7930,10510,7895
26915,0,7025,8105,10755,8055
27406,0,6534,8248,10953,8205
27822,0,6118,8377,11121,8324
28148,0,5792,8485,11252,8411
28535,0,5405,8600,11413,8522
28840,0,5100,8685,11533,8622
29083,0,4857,8759,11631,8693
29282,0,4658,8823,11704,8755
29452,0,4488,8869,11774,8809
29579,0,4361,8904,11828,8847
29692,0,4248,8941,11872,8879
29774,0,4166,8965,11910,8899
29783,57,4100,8962,11921,8900
29769,126,4045,8958,11912,8899
29752,198,3990,8959,11900,8893
29723,266,3951,8949,11890,8884
29703,316,3921,8943,11874,8886
29691,361,3888,8948,11861,8882
29654,420,3866,8935,11853,8866
29619,474,3847,8933,11831,8855
29589,523,3828,8925,11819,8845
29553,577,3810,8918,11809,8826
29519,621,3800,8909,11795,8815
29478,671,3791,8899,11782,8797
29451,704,3785,8893,11765,8793
29419,739,3782,8882,11753,8784
29392,766,3782,8873,11744,8775
29363,796,3781,8864,11730,8769
29341,819,3780,8857,11722,8762
29321,841,3778,8851,11714,8756
29300,863,3777,8845,11707,8748
29273,892,3775,8835,11697,8741
29508,934,3498,8905,11802,8801
29728,972,3240,8974,11886,8868
29935,1019,2986,9033,11963,8939
30103,1063,2774,9073,12026,9004
30308,1108,2524,9148,12105,9055
30488,1149,2303,9199,12185,9104
30662,1193,2085,9257,12258,9147
30804,1232,1904,9294,12311,9199
30984,1292,1664,9341,12375,9268
31113,1347,1480,9383,12426,9304
31214,1399,1327,9409,12468,9337
31302,1444,1194,9437,12501,9364
31419,1515,1006,9480,12544,9395
